marca,linea,modelo,condición,combustible,color,transmisión,único_dueño,tipo_de_vendedor,kilometraje,puertas,precio
Chevrolet,Spark GT,2015,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,71000,5.0,25500000
Ford,Ranger,1970,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,100000,4.0,15000000
Renault,Twingo,2008,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,170000,3.0,10000000
Ford,Fiesta,2011,Usado,Gasolina,Negro,Automática,No,Persona Natural,86500,4.0,20000000
Kia,Sportage,2011,Usado,Gasolina y Gas,Blanco,Automática Secuencial,Sí,Persona Natural,139151,4.0,35000000
Renault,Clio,2015,Usado,Gasolina,Negro,Automática,Sí,Vendedor Profesional,77000,5.0,20000000
Mitsubishi,Nativa,1998,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,142600,4.0,22000000
Chevrolet,Corsa 4 Ptas.,2005,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,162000,4.0,12990000
Renault,Logan,2007,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,160000,4.0,10300000
Renault,Sandero Stepway,2018,Usado,Gasolina,Rojo,Automática,Sí,Persona Natural,20000,5.0,42000000
Nissan,Sentra,2011,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,62500,4.0,15000000
Foton,Tunland,2015,Usado,Diesel,Gris,Mecánica,No,Persona Natural,92260,5.0,43000000
Renault,Twingo,2005,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,176000,3.0,10500000
Ford,Fiesta,2011,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,120000,4.0,23000000
Chevrolet,Vivant,2007,Usado,Gasolina,Azul,Automática,No,Persona Natural,145000,5.0,13000000
Chevrolet,Aveo,2008,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,143000,4.0,15500000
Kia,Picanto,2016,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,51400,5.0,31500000
Mazda,323,1992,Usado,Gasolina y Gas,Blanco,Mecánica,No,Persona Natural,300000,5.0,6200000
DFM/DFSK,Oting,2012,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,120000,5.0,19000000
Chevrolet,Aveo,2013,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,76000,4.0,22000000
Chevrolet,Spark GT,2015,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,89000,5.0,23500000
Chevrolet,Captiva,2011,Usado,Gasolina,Gris,Automática,No,Persona Natural,101022,5.0,30000000
Mazda,Mazda 3,2012,Usado,Gasolina,Blanco,Automática Secuencial,No,Persona Natural,90600,4.0,31900000
Citroen,C3,2008,Usado,Diesel,Gris,Mecánica,No,Persona Natural,160000,4.0,16000000
Mazda,2,2009,Usado,Gasolina,Gris,Automática,No,Persona Natural,149000,5.0,22500000
Renault,Megane,2005,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,175000,4.0,12000000
Renault,Sandero,2020,Usado,Gasolina,Beige,Mecánica,Sí,Persona Natural,2500,5.0,35500000
Chevrolet,Aveo,2011,Usado,Gasolina,Otro,Automática,No,Persona Natural,92000,5.0,22000000
Chevrolet,Luv,1986,Usado,Gasolina,Blanco,Mecánica,No,Vendedor Profesional,123456,2.0,14500000
Renault,Clio,2016,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,101000,5.0,21000000
Chevrolet,Dmax,2012,Usado,Diesel,Blanco,Mecánica,Sí,Persona Natural,263000,4.0,50000000
Mazda,323,1991,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,320000,4.0,5700000
Chevrolet,Sail,2013,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,78000,5.0,25000000
Chevrolet,Swift,1995,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,45000,4.0,7000000
Chevrolet,Chevy,2008,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,142000,5.0,11900000
Mazda,3,2012,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,73000,5.0,35500000
Chevrolet,Aveo Emotion,2011,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,95000,3.0,18500000
Chevrolet,Esteem,1998,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,99998,5.0,10000000
Nissan,March,2014,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,105000,5.0,21000000
Mazda,Mazda 2,2008,Usado,Gasolina,Negro,Automática,No,Persona Natural,127912,5.0,22800000
Volkswagen,Jetta,2014,Usado,Gasolina,Blanco,Automática Secuencial,No,Persona Natural,32900,5.0,45000000
Hyundai,i10,2014,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,84000,4.0,20500000
Buick,Century,1966,Usado,Gasolina,Negro,Mecánica,No,Vendedor Profesional,254555,2.0,25000000
Mazda,626,1994,Usado,Gasolina y Gas,Blanco,Mecánica,No,Persona Natural,306664,4.0,5500000
Chevrolet,Cruze,2012,Usado,Gasolina,Plateado,Automática Secuencial,No,Persona Natural,87000,4.0,26000000
Chevrolet,Spark GT,2016,Usado,Gasolina,Otro,Mecánica,No,Persona Natural,21000,4.0,27000000
Mazda,2,2011,Usado,Gasolina,Blanco,Automática,No,Persona Natural,95000,5.0,23000000
Renault,Logan,2006,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,110965,5.0,13900000
Mazda,3,2010,Usado,Gasolina,Gris,Automática,No,Persona Natural,87300,4.0,26500000
Chevrolet,Aveo,2010,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,130000,2.0,18300000
Renault,Logan,2015,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,100000,5.0,18500000
Ford,Explorer,2017,Usado,Gasolina,Gris,Automática,Sí,Persona Natural,24000,5.0,103000000
Renault,Duster,2013,Usado,Gasolina y Gas,Blanco,Mecánica,No,Persona Natural,248000,5.0,31000000
Chevrolet,Cruze,2012,Usado,Gasolina,Negro,Automática,No,Persona Natural,127000,4.0,29000000
Ssangyong,Actyon,2009,Usado,Gasolina,Negro,Automática,No,Persona Natural,115000,5.0,23000000
Renault,Clio,1999,Usado,Gasolina,Beige,Mecánica,No,Vendedor Profesional,200000,5.0,8500000
Audi,A4,2008,Usado,Gasolina,Gris,Automática Secuencial,No,Persona Natural,89500,4.0,29800000
Chevrolet,Spark GT,2012,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,117000,4.0,20500000
Mazda,Mazda 3,2015,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,70800,5.0,43000000
Renault,Clio,2013,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,127000,4.0,17600000
Mazda,121,1988,Usado,Gasolina,Verde,Mecánica,Sí,Persona Natural,198000,4.0,8000000
Renault,Clio,2013,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,130000,5.0,16500000
Renault,Kwid,2020,Usado,Gasolina,Negro,Mecánica,Sí,Persona Natural,8700,5.0,35000000
Chevrolet,Spark,2018,Usado,Gasolina,Rojo,Mecánica,Sí,Persona Natural,30000,5.0,22500000
Chevrolet,Captiva,2017,Usado,Gasolina,Blanco,Automática,Sí,Persona Natural,33000,5.0,52800000
Renault,Clio,2000,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,262983,5.0,7000000
Volkswagen,Jetta,2011,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,130000,4.0,20000000
Kia,New Sportage,2017,Usado,Gasolina,Rojo,Automática,Sí,Persona Natural,57900,5.0,85300000
Renault,R9,1994,Usado,Gasolina,Azul,Automática,Sí,Persona Natural,25000,4.0,5500000
Renault,Clio,2006,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,186000,5.0,12500000
Toyota,Prado,2013,Usado,Diesel,Gris,Automática,No,Persona Natural,127000,5.0,113000000
Renault,Logan,2008,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,188000,5.0,13500000
Renault,Clio,2015,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,71548,5.0,21800000
Mazda,Allegro,2001,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,100000,4.0,10500000
Chevrolet,Aveo,2012,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,92000,4.0,19000000
